~id,~from,~to,~label
4592,PST-931M1000,SOL-1035,reference
4599,PST-1360,SOL-0778,reference
4606,ICP-066,ISOL-6608A,reference
4613,392611635,8010-0003,reference
4620,CLP-351X,SOL-0070,reference
4627,PST-626M1000,SOL-2408,reference
4634,5183-4594,5183-4759,reference
4641,5080-8716,AGMTD_2,reference
4648,SCA-110-1,SOL-1235,reference
4662,PPM-508B-1,SOL-0895,reference
4669,RGO-210,AGMTD_192,reference
4697,DMP-020,SOL-0148,reference
4711,RPC-071S,SRPC-071,reference
4718,PHM-630-1,SOL-0070,reference
4732,PST-2835-10MG,SOL-0737,reference
4739,EPA-1008-1,AGMTD_187,reference
4746,SG073200,5188-5361,reference
4753,PPM-527A-1,SOL-0710,reference
4760,EPA-1101-1,SOL-0101,reference
4774,WRK-105I,SOL-0366,reference
4781,NPI-TEST-PAH-630-1,AGMTHD_61,reference
4782,PPM-608B-1,SOL-0820,reference
4796,RPC-126,SRPC-126,reference
4803,EPA-1282-1,AGMTD_78,reference
4817,14-8901-000,14-8901-600,reference
4824,RHH-038,AGMTD_187,reference
4831,PSM-101-N,SOL-0762,reference
4845,NAI-171-1,AGMTHD_110,reference
4852,PANAL0101,AGMTD_16,reference
4859,5062-3552,5190-6979,reference
4866,392611549,8010-0198,reference
4873,PPM-541-1,AGMTD_85,reference
4887,US-135-1,SOL-0175,reference
4894,NPM-619-1,SOL-0983,reference
4901,US-118-1,SOL-0745,reference
4908,HCM-624-1,SOL-0285,reference
4922,DRG-1171-10MG,AGMTD_187,reference
4929,RAB-042,SOL-0080,reference
4936,NPM-621-1,AGMTHD_68,reference
4943,FLSA-087,SFLSA-087,reference
4957,ICP-081-25,ISOL-8131B,reference
4964,UST-111-1,SOL-0268,reference
4971,PANAL0220-4,AGMTD_12,reference
4978,MKI-Z-01342S,MKI-UTE-5003,reference
4985,RPC-047,SRPC-047,reference
4992,DLM-031-1,SOL-0043,reference
5006,SVM-112-1,SOL-0205,reference
5013,PSM-620-1,SOL-0113,reference
5020,ICP-059,ISOL-5900A,reference
5027,ISM-651X,SOL-0422,reference
5048,RCC-070,SOL-0211,reference
5055,ISM-521-1,AGMTHD_21,reference
5062,WRK-180N,SWRK-180N,reference
5069,PPM-525F-1,SOL-0905,reference
5083,CP914716,2010095000,reference
5090,392611860,8010-0165,reference
5097,ICC-030,ISOL-1992A,reference
5118,FLSA-036,SFLSA-036,reference
5126,USPM-467D-1,SOL-0040,reference
5154,RGO-310-1,SOL-2176,reference
5168,EPA-1045-1,SOL-0253,reference
5175,STM-330N-1,SOL-0342,reference
5182,US-300-1,SOL-0082,reference
5189,PST-3505-10MG,SOL-1730,reference
5196,CH-230-1,AGMTD_187,reference
5203,QCI-706A,ISOL-3308B,reference
5210,SG073111,5062-3514,reference
5217,PPS-166-1,AGMTD_163,reference
5224,WRK-151M,SOL-0467,reference
5231,ISM-511X,SOL-0289,reference
5238,G3170-65400,G3170-67400,reference
5252,PSM-105-A,SOL-0855,reference
5266,TFP-29-1,AGMTD_251,reference
5273,PST-1405M100A01,SOL-0851,reference
5280,TCLP-511N-1,SOL-0225,reference
5287,RPC-090S,SRPC-090,reference
5294,US-215-10ML,SOL-0428,reference
5301,EPA-1342-1,SOL-1248,reference
5308,NAIM-529-I,SOL-0225,reference
5322,G5550-06432,G5550-18641,reference
5329,ISM-451-1,AGMTHD_10,reference
5336,PANAL0211-4,SOL-1649,reference
5343,PSM-105-C,SOL-1478,reference
