~id,product_item:String,product_line:String,product_desc:String,~label
SYS-GC-7890-E,7000,74,GC 7890 System Enhanced GC Features,product
R26N091,6020,74,CrossLab Qualification IQ,product
R26J091,6010,74,CrossLab Qualification OQ,product
SYS-SW-CS,6000,74,Analytical Software WorkStation,product
M8400-64001,4010,AZ,Agilent Instrument Driver for GC - QTY1,product
R26J091,7010,74,CrossLab Qualification OQ,product
H1147H,3120,74,1 Year Phone Assist      (44W),product
H1142H,3110,74,Familiarization at Installation (44L),product
H1141H,3100,74,Installation (44K),product
M8400AA,4000,AZ,OpenLAB CDS Inst. Driver for Agilent GC,product
UP_FRONT_SERVICE_H,3090,74,Up Front Support Services for Hardware,product
G1680-63ABA,3070,LI,English Keyboard,product
G1680-63720,3060,LI,USB 2.0 Cable (10 ft.),product
G1680-63359,3050,LI,LaserJet Printer - 115V,product
8120-1378,3080,LI,Cable Assembly-Power Cord 18AWG 2.3m-LG,product
G1680-63549,3040,LI,19 in Standard Format (5:4) LCD Monitor,product
G1030-90117,3020,LI,Agilent Mouse Pad,product
9499335S001,1000,9H,DS602 1PH R.V.PUMP  CUST CODE:1001298A,product
5181-1267,1000,58,"Syringe, 10ul tapered, FN 23-26s/42/HP",product
5183-4701,1000,58,"Liner, GenPurpose, GW Taper, Deac, 5PK",product
86643301,1000,9H,"CLAMP,HEATER,FOR VHS-6 + VHS-250 PUMPS",product
647306125,2000,9H,"HEATER, VHS-6/250 PUMP, 120V/2200W",product
EX9499325,1000,9H,EXCHANGE DS 302 PUMP 1 PHASE W/W MOTOR,product
H1141S,1040,74,Installation (44K),product
H1142A,2040,74,Familiarization at Installation (44L),product
H1141A,2030,74,Installation (44K),product
G3452-64000,2010,AZ,Capillary S/SL Inlet w/EPC,product
G3452A,2000,AZ,7890 100psi Split/splitless Inlet Accy,product
H1147S,1060,74,1 Year SW Update/Phone Assist     (44W),product
M8490-64000,1010,LI,OpenLAB CDS USB Media,product
H1142S,1050,74,Familiarization at Installation (44L),product
M8413-64001,1020,LI,OpenLAB CDS Workstation SW AuthCode Qty1,product
UP_FRONT_SERVICE_S,1030,74,Up Front Support Services for Software,product
M8415AA,1000,LI,Upgrade to OpenLAB CDS Workstation SW,product
UP_FRONT_SERVICE_H,2020,74,Up Front Support Services for Hardware,product
5065-9940,1010,UF,Pre-packed Tubes for RNA-Assays,product
5067-1521,1020,UF,RNA-NANO-25 Chips,product
5067-1511,1000,UF,RNA 6000 Nano kit,product
G2938-68706,1030,UF,Syringe Kit,product
G2938-80023,1040,UF,Reagents RNA Nano,product
G2938-80038,1050,UF,RNA 6000 Nano ladder,product
G2938-90402,1060,UF,2100 MSDS Link Tech Note ENG,product
G2938-90037,1070,UF,Quick Guide RNA 6000 Nano Kit,product
G1312-60025,1000,AA,"Active inlet valve,without cartridge",product
01018-22707,2000,AA,PTFE Frits 5PK,product
5067-4728,3000,AA,Seal Cap Assembly,product
